Hash;Timestamp;Branching Time;Merge Time;Committers 1;Committers 2;Diff Committers;Same Committers;Commits 1;Commits 2;Changed Files 1;Changed Files 2;Changed Files Intersection;Conflict;Conflicted Files;Chunks;Modified Chunks;Self Conflicts
765dd20e053fb04fdfa51019e0863f7e754035b9;2020-02-18 19:39:36 +0100;90.8983796;92.2977431;7;1;6;1;127;3;300;6;SOME;false;0;0;0;0
48efae6db8851757a29a3cd5976bf39952f950fd;2020-01-10 16:18:12 +0100;0.0132755;0.1115972;4;1;3;1;13;1;31;3;NONE;false;0;0;0;0
dbf20134629819edaa9d29c55cfbea83c7f7a258;2020-01-10 16:17:52 +0100;3.0138426;3.1795949;4;2;2;2;12;2;31;21;SOME;false;0;0;0;0
69785131e5a8ecae8ff21d289f34d29c754aaa50;2020-01-10 16:16:58 +0100;29.0996875;30.7227431;5;1;4;1;33;3;78;7;NONE;false;0;0;0;0
5c1354f3bb7f2e64d89d56741995efd644cf02bf;2020-01-07 11:59:15 +0100;25.9887847;27.5437731;3;1;3;0;11;13;52;6;SOME;false;0;0;0;0
8f576a56d3bdcb56cf8174c361086a0a84298904;2020-01-07 10:16:29 +0100;0.6577778;19.8369676;1;1;1;0;1;3;1;8;NONE;false;0;0;0;0
cce0f1ae27e6133d7a42bb3d6fe232f1e0f8e119;2019-12-16 14:22:06 +0100;2.9563194;5.6429745;1;1;1;0;1;1;8;2;NONE;false;0;0;0;0
6b13bdc3d5ae96da76149cd7d5b732f9e54ffeaa;2019-11-18 12:30:51 +0100;16.9044444;18.1397917;4;1;4;0;27;1;69;2;NONE;false;0;0;0;0
1d76a3f20c06cc9392a690110d2e023d8dbf686c;2019-10-09 10:45:31 +0200;56.2398380;56.9362037;7;1;7;0;51;3;208;5;NONE;false;0;0;0;0
74637a21f13798e90400950ca1aa8b1f7744bd1f;2019-09-09 09:52:29 +0200;7.0029977;16.7059375;1;1;1;0;1;17;1;34;NONE;false;0;0;0;0
5413138ea47ba1be4bc1efc3ba62b5079819d77f;2019-07-05 09:41:20 +0200;37.8017708;44.7753472;3;1;3;0;35;2;237;26;NONE;false;0;0;0;0
407a09daf78bf267e315c6e2574fea77ab67100e;2019-05-24 12:07:11 +0200;6.8260648;9.9979861;3;1;2;1;4;1;36;5;ALL;false;0;0;0;0
a9745d82c7454e7b5d80242b88ef1b0fb1a62578;2019-03-04 11:50:16 +0100;0.0719097;0.0931250;1;1;1;0;5;3;8;60;SOME;false;0;0;0;0
69add115f0eb71d7592762e61fe59dc64b34ea4f;2018-12-04 15:59:45 +0100;0.1475579;0.1828704;1;1;0;1;1;7;2;38;SOME;false;0;0;0;0
e0f7b942fe9a81e911c6dc26be84d18a557446d3;2018-11-20 18:28:43 +0100;0.1116782;0.1779861;2;1;2;0;15;1;48;4;NONE;false;0;0;0;0
1c2e28300a36dbb272bcea4cdd3c67799f3079eb;2018-11-20 17:48:15 +0100;27.1019907;27.3640046;2;4;3;1;13;58;48;115;SOME;false;0;0;0;0
dc599baadd17dd52e2fbad4d7b723915ee0b5be3;2018-11-09 09:10:45 +0100;0.1153588;2.9167708;1;1;1;0;2;1;3;4;NONE;false;0;0;0;0
4231a51b542f4bee2eafecb05d347b2e8894ab7f;2018-11-05 09:53:31 +0100;1.7604051;2.7501389;1;1;1;0;3;2;5;4;NONE;false;0;0;0;0
223c6481db01d4b8707eafb449caa379ddea661c;2018-10-29 13:40:01 +0100;7.2825579;9.1364352;2;2;1;1;26;2;69;8;SOME;false;0;0;0;0
5641ea95f6c8007a4691bc8a0563200cfe15cad4;2018-10-19 11:04:56 +0200;0.6256944;2.5618750;1;1;1;0;1;2;2;9;NONE;false;0;0;0;0
29246ee2fb5bab593958bac7821158f567e949b2;2018-09-24 08:57:35 +0200;4.6733681;4.9357870;1;2;2;0;1;2;3;9;NONE;false;0;0;0;0
e016a3aa226b0c761461fbf6b300b003677fddb3;2018-09-19 10:12:09 +0200;4.3794907;6.9564352;1;2;1;1;2;3;8;114;SOME;true;4;5;5;5
8c8688e350d40e4259f4b5a132b45c00d77f6cd5;2018-08-10 09:58:37 +0200;1.7536343;2.9466435;2;1;2;0;2;2;3;3;NONE;false;0;0;0;0
01bc1489fa56084d0aa658eaad9e61d40217a452;2018-07-26 15:58:39 +0200;0.1394213;2.0548032;1;1;1;0;2;10;16;22;NONE;false;0;0;0;0
cfb353d25823d5261ba0f464ac8a03dca0bd803a;2018-07-25 11:15:48 +0200;18.2044676;20.0416435;1;2;2;0;7;8;17;49;SOME;true;1;1;1;0
e1deb35f30b3318aa39fc39eaedb8c0713d6fee5;2018-07-06 09:45:49 +0200;7.9874769;8.0341319;4;1;3;1;10;3;56;17;ALL;false;0;0;0;0
231d85816822e8a49959c16458978a69d9a244fd;2018-06-20 14:55:54 +0200;5.8615509;5.9264120;3;1;3;0;8;6;32;6;NONE;false;0;0;0;0
b2aebb1c1e0cc5519478a1348a571274cdaaa412;2018-05-23 17:47:49 +0200;33.5945949;36.8734722;9;1;9;0;50;2;151;2;SOME;false;0;0;0;0
4df0dbb81408a31ebd4c7e7fa62b6d91cb6a1003;2018-05-16 10:37:28 +0200;4.0227662;4.7468403;2;1;1;1;6;1;29;5;NONE;false;0;0;0;0
553f8dba6895e5eb421ad61c3d131b7d1bac95d2;2018-05-07 15:43:38 -0300;7.3892130;12.4217361;2;1;2;0;16;1;45;7;NONE;false;0;0;0;0
defa186120de58f8ea64c617a264908701326373;2018-04-16 14:45:18 +0200;1.2626042;1.6773958;1;1;1;0;5;1;2;6;NONE;false;0;0;0;0
825c18d05db2738d88bc6f7aff577ae424641c19;2018-04-16 11:30:25 +0200;134.4236111;1021.6703241;1;1;1;0;5;1;5;1;NONE;false;0;0;0;0
8f465e5dcba42f7c75dc5e2883cdc91c71c35be1;2018-04-14 14:26:09 +0200;61.6470949;61.6849653;8;1;8;0;81;1;188;2;SOME;false;0;0;0;0
8cd1dff13b960856df733457dce4d9dec478d823;2018-04-14 10:24:06 +0200;2.9895370;3.0016551;1;2;1;1;19;4;46;11;SOME;true;2;2;2;2
9bed0f65ac6062b897cefbd6aa9bd5396734aaef;2018-04-11 10:21:43 +0200;0.9362037;1.6460880;2;1;1;1;4;6;5;28;NONE;false;0;0;0;0
f8515e30c02c0d4f96042ed6a16b10a01550a713;2018-04-05 11:10:37 +0200;1.1611806;6.1165394;1;1;0;1;8;3;44;3;SOME;false;0;0;0;0
98b28de1d02cab9e91ebab49fede0e524ef5244c;2018-03-27 18:55:39 +0200;7.3236343;11.3048264;4;1;4;0;11;4;58;6;SOME;false;0;0;0;0
966244abd62b458f46c3c2a507368e4597b3ba67;2018-03-27 18:38:45 +0200;1.0486690;5.3183449;1;1;1;0;2;2;2;1;NONE;false;0;0;0;0
1fb6bc0a7416cd87d2390352fd119370310dc92d;2018-01-31 11:32:02 +0100;0.9446759;1.0385532;1;1;1;0;6;2;16;3;SOME;false;0;0;0;0
06e18d1171b4e3e8642683aac3d5eab5ffe88693;2018-01-30 09:44:59 +0100;25.0211111;25.9458102;11;1;10;1;83;8;132;6;SOME;false;0;0;0;0
58786a9e48999a21079271daaea78813fc5ad47f;2018-01-22 15:10:11 +0100;82.8632292;87.0604051;11;1;10;1;189;1;1320;1;ALL;false;0;0;0;0
b2a57485390a435d47804c4c6450d406282e0d88;2018-01-18 17:29:15 +0100;2.1648032;6.0529630;4;1;4;0;25;1;47;1;NONE;false;0;0;0;0
f063a608a995f742e8a52ede20474a4a2d41a51a;2018-01-18 15:17:05 +0100;8.0995139;8.1967130;8;1;7;1;54;2;77;4;SOME;false;0;0;0;0
aa87d7235c9d6da7840e72fbdfdbe6c3d09cb284;2018-01-18 15:14:50 +0100;1.5982292;1.9215741;2;1;2;0;4;10;12;26;NONE;false;0;0;0;0
f0c3ce3c8a02d63cf23826e08fbdc20af1f65a13;2018-01-18 11:56:19 +0100;0.5211458;1.7837153;1;1;1;0;1;2;1;11;NONE;false;0;0;0;0
ee870857d54fe161a06d35cbee8cfa3cab9f1356;2018-01-16 13:45:00 +0100;4.6186690;4.8109144;3;1;3;0;4;5;3;4;NONE;false;0;0;0;0
5eb55e8478fbe9ca1cb14aaef783a40857fee602;2018-01-12 16:12:59 +0100;0.1920833;0.9136806;2;1;2;0;2;1;2;1;NONE;false;0;0;0;0
256381672f899a15636dc91e3361a845595133a9;2018-01-11 15:13:35 +0100;21.2117361;23.9465278;5;1;5;0;40;9;68;16;NONE;false;0;0;0;0
bdbaece4b9d258ffa17b6cee790e7e57ee319a18;2018-01-10 16:49:07 +0100;110.2374537;111.1400694;10;1;10;0;186;7;1406;14;SOME;false;0;0;0;0
4d2d6b095b375c47b279c0b0770f73a022d931e7;2018-01-10 15:01:52 +0100;0.1712153;1.2195370;1;1;1;0;1;1;1;1;NONE;false;0;0;0;0
cf4394ca5e58af9b681ff5aceabf6b02d0ce4d84;2018-01-08 13:13:39 +0100;24.0437153;25.8558565;4;1;3;1;32;2;1245;2;SOME;false;0;0;0;0
4e1c13aff95353c7511b7ec9a0628fe2f46ee6b6;2017-12-22 10:34:57 +0100;5.5276968;8.7456481;2;1;2;0;14;9;1237;6;SOME;false;0;0;0;0
2f434a049753cd73df9a78674113e447d89b26f5;2017-12-18 16:30:35 +0100;3.2331134;4.9926157;1;1;1;0;12;1;1237;1;ALL;false;0;0;0;0
4c08849a57f4b9ac291a15a1dd252d26293da35a;2017-12-06 21:24:00 +0100;36.2607060;40.3200000;2;1;1;1;7;75;9;85;NONE;false;0;0;0;0
650590fe62691b0f824682402612e4fbc12a629c;2017-10-16 09:26:40 +0200;2.6633218;3.9481597;1;1;1;0;2;2;2;3;NONE;false;0;0;0;0
d715bc4b11068259d1bf3a55c59c66592a2dac79;2017-10-03 14:09:35 +0200;0.6316435;0.9248958;2;1;1;1;3;6;2;5;NONE;false;0;0;0;0
cb8e505842b101316db4e067a68b25e2539e2838;2017-10-03 07:07:51 +0200;1.3270602;1.5123727;1;1;1;0;5;1;5;1;NONE;false;0;0;0;0
